81st & Amsterdam,40.784445,-73.977454
80th & Amsterdam,40.783837,-73.977891
80th & 2nd,40.774162,-73.954849
7th Street & 3rd Avenue,40.672669,-73.990013
7th Street & 1st Avenue,40.727373,-73.985811
7th & Leroy,40.730935,-74.00452
7th & Bleecker,40.732777,-74.003471
79th & York,40.771547,-73.950705
79th & Broadway,40.78391,-73.980166
77th & 1st,40.771162,-73.95387
76th & Broadway,40.781755,-73.981152
76th & 2nd,40.771501,-73.956749
73rd & Columbus,40.778074,-73.978442
70th & Broadway,40.777065,-73.982217
6th Street & 2nd Avenue,40.727826,-73.988688
6th Avenue & 8th Street,40.668642,-73.983435
66th & Broadway,40.773871,-73.982472
61st & 5th,40.765605,-73.972313
60th & Broadway,40.768962,-73.982324
5th Avenue & 9th Street,40.73343,-73.995891
58th & Lexington,40.761757,-73.968825
58th & 9th,40.76856,-73.985381
57th & Broadway,40.766326,-73.98197
57th & 9th,40.76787,-73.985861
56th & 7th,40.764873,-73.9807
56th & 6th,40.640416,-74.011611
53rd & 9th,40.765355,-73.987672
53rd & 8th,40.764227,-73.984862
51st & 7th,40.761751,-73.98299
4th Street & 6th Avenue,40.671052,-73.981425
4th Street & 2nd Avenue,40.726659,-73.989365
4th & Bowery,40.72762,-73.991569
49th & Madison,40.757432,-73.976234
49th & Broadway,40.76085,-73.984554
49th & 8th,40.761746,-73.986672
49th & 7th,40.760551,-73.983841
48th & 8th,40.761072,-73.987174
47th & 3rd,40.754176,-73.972331
45th & Lexington,40.753574,-73.974825
45th & 8th,40.759248,-73.988505
45th & 6th,40.646578,-74.005202
45th & 5th,40.755549,-73.979666
44th & Broadway,40.757347,-73.986002
43rd & Broadway,40.756639,-73.986287
42nd & Madison,40.753012,-73.979484
41st & Broadway,40.755191,-73.986728
41st & 6th,40.648821,-74.002866
41st & 3rd,40.750396,-73.975124
40th & Broadway,40.754467,-73.98697
40th & 8th,40.756076,-73.990838
40th & 3rd,40.749739,-73.97556
37th & Broadway,40.752328,-73.987609
33rd & 5th,40.748006,-73.985163
32nd & 2nd,40.743798,-73.976935
30th & 7th,40.748703,-73.992587
2nd Avenue & 7th Street,40.728401,-73.988274
29th & 10th,40.751611,-74.001494
28th & 7th,40.74752,-73.993481
27th & 8th,40.748008,-73.99677
27th & 6th,40.745669,-73.991173
27th & 3rd,40.741688,-73.981536
26th & 8th,40.747449,-73.997206
26th & 2nd,40.740101,-73.979769
23rd & 3rd,40.739124,-73.983412
22nd & Broadway,40.740889,-73.989725
22nd & 6th,40.742497,-73.993441
20th & 6th,40.741265,-73.994335
1st Avenue & 12th Street,40.730429,-73.983652
1st Avenue & 10th Street,40.729164,-73.98459
19th & 7th,40.741883,-73.99758
19th & 5th,40.739445,-73.99153
18th & Broadway,40.738156,-73.990216
18th & 5th,40.738903,-73.991944
18th & 10th,40.744725,-74.006531
17th & Broadway,40.737482,-73.990349
17th & 8th,40.741861,-74.00137
16th & 3rd,40.734934,-73.986443
168th & Broadway,40.841107,-73.939766
15th & 8th,40.740711,-74.002198
15th & 5th,40.737177,-73.993165
14th & 5th,40.736569,-73.99358
14th & 2nd,40.73274,-73.985199
14th & 1st,40.731711,-73.982715
145th & Broadway,40.826469,-73.950455
143rd & Broadway,40.825204,-73.951416
140th & Broadway,40.823282,-73.952771
13th & 3rd,40.733011,-73.987904
12th Street & 7th Avenue,40.737808,-74.000545
12th Street & 5th Avenue,40.735287,-73.994539
12th & 5th,40.735287,-73.994539
125th & Broadway,40.815741,-73.958277
123rd & Lexington,40.803092,-73.938409
